id,recordDate,recordTime,date,shift,shiftStartAt,shiftEndAt,machineId,machineName,productName,partNo,step,workMinutes,timeSlots,minutesPerSlot,machineSpeed,cavityQty,normalMinutes,changeoverMinutes,inspectionMinutes,equipmentRepairMinutes,moldRepairMinutes,materialChangeMinutes,emergencyStopMinutes,meetingMinutes,plannedStopMinutes,goodQty,ngQty,testQty,note,createdAt,updatedAt,source
seed-1-ocp-80t-69,,,2026-03-12,白,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,1040.03,208.01,5,100,2,350,0,30,0,565.03,0,0,95,0,66280,120,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-70,,,2026-03-12,夜,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,767.02,153.4,5,100,2,265,15,45,0,372.02,25,0,45,0,47014,24,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-71,,,2026-03-12,夜,,,1-ocp-80t,1# OCP-80T,MIDDLE,48187096,-,500.55,100.11,5,100,2,160,65,5,0,260.55,0,0,10,0,27634,40,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-72,,,2026-03-13,白,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,1216.76,243.35,5,120,2,375,0,80,0,661.76,20,0,80,0,68000,40,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-73,,,2026-03-13,夜,,,1-ocp-80t,1# OCP-80T,Medium Arc Platel,48187097AA,-,851.07,170.21,5,110,3,25,150,55,0,491.07,0,0,20,110,2940,60,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-74,,,2026-03-14,白,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,1302.78,260.56,5,120,2,280,75,90,0,767.78,25,0,65,0,44200,680,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-75,,,2026-03-16,白,,,1-ocp-80t,1# OCP-80T,LOAD-TERM-HI,48187055AA,-,638.72,127.74,5,120,2,120,0,45,0,408.72,0,0,30,35,17616,80,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-76,,,2026-03-20,白,,,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,5966.19,1193.24,5,50,1,410,0,175,0,5306.19,0,0,75,0,1584,0,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-77,,,2026-03-20,白,,,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,7960.35,1592.07,5,50,1,580,0,15,0,7300.35,0,0,65,0,2304,0,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-78,,,2026-03-21,白,,,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,5423.89,1084.78,5,50,1,490,0,95,0,4763.89,0,0,75,0,2520,0,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-79,,,2026-03-21,白,,,1-ocp-80t,1# OCP-80T,CG BASE,1185509,-,4465.11,893.02,5,50,1,255,0,35,0,4105.11,0,0,20,50,792,0,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-80,,,2026-03-23,白,,,1-ocp-80t,1# OCP-80T,Arc Stack Top,48187104AA,-,1461.52,292.3,5,100,4,420,80,50,0,821.52,0,0,90,0,130880,520,0,,2026-06-27T00:00:00.000Z,,excel-seed
seed-1-ocp-80t-81,,,2026-03-24,白,,,1-ocp-80t,1# OCP-80T,Arc Stack Top,48187104AA,-,1456.88,291.38,5,100,4,515,0,70,60,676.88,15,0,90,30,179560,64,0,,2026-06-27T00:00:00.000Z,,excel-seed
